"2021.emnlp-main.378","2021","-1","5"
"2021.emnlp-main.637","2021","-1","4"
"2021.emnlp-main.762","2021","-1","3"
"2021.acl-long.60","2021","-1","6"
"2021.acl-long.146","2021","-1","4"
"2021.acl-long.217","2021","-1","7"
"2021.acl-long.361","2021","-1","5"
"2021.acl-long.371","2021","-1","4"
"2021.acl-long.397","2021","-1","5"
"2020.semeval-1.85","2020","-1","5"
"2020.findings-emnlp.69","2020","-1","5"
"2020.findings-emnlp.331","2020","-1","4"
"2020.findings-emnlp.424","2020","-1","5"
"2020.emnlp-main.592","2020","0","5"
"P19-1053","2019","1","6"
"P19-1429","2019","0","4"
"P19-1511","2019","2","4"
"P19-1521","2019","1","4"
"D19-3012","2019","0","4"
"D19-1028","2019","1","3"
"D19-1646","2019","0","4"
"P18-1071","2018","7","2"
"P18-1095","2018","1","4"
"P18-1100","2018","5","4"
"P18-1145","2018","2","4"
"N18-1068","2018","10","4"
"D18-1478","2018","8","7"
"C18-1076","2018","2","3"
"C18-1240","2018","0","3"
"W17-3532","2017","0","2"
"D17-1216","2017","15","2"
"S16-1098","2016","0","4"
"P16-1073","2016","4","2"
"C16-1273","2016","1","2"
"P15-2056","2015","3","2"
"P14-2011","2014","18","1"
"P14-2117","2014","7","2"
"C14-1215","2014","9","3"
"W12-6311","2012","0","3"
"W12-6322","2012","3","2"
"D12-1010","2012","68","2"
"P11-1095","2011","122","2"
"I11-1159","2011","1","2"
"W10-4163","2010","2","1"
"W10-4170","2010","0","2"
"W09-3521","2009","97","2"
"I08-4020","2008","4","3"
"I08-2087","2008","2","2"
"W06-0132","2006","9","2"
"P06-1074","2006","20","2"
"C04-1098","2004","1","2"
"W02-1211","2002","8","1"
"W00-1313","2000","4","2"
"W00-1314","2000","16","1"
"sun-etal-2000-automatic","2000","0","1"
