"2021.findings-acl.300","2021","-1","4"
"2020.tacl-1.54","2020","18","3"
"2020.emnlp-main.259","2020","0","3"
"2020.coling-tutorials.5","2020","-1","2"
"2020.bionlp-1.6","2020","-1","11"
"N19-1088","2019","8","2"
"N19-1424","2019","1","9"
"D19-5005","2019","-1","3"
"D19-1445","2019","25","4"
"W18-1604","2018","-1","3"
"P18-1049","2018","1","2"
"L18-1639","2018","1","2"
"D18-1525","2018","1","2"
"C18-1004","2018","0","2"
"C18-1064","2018","3","3"
"C18-1228","2018","8","3"
"W17-4203","2017","0","4"
"S17-2004","2017","7","3"
"S17-2010","2017","1","3"
"I17-1035","2017","1","3"
"D17-1092","2017","13","2"
"D17-1143","2017","7","3"
"D17-1261","2017","7","2"
"S16-1115","2016","0","5"
"P16-1182","2016","2","4"
"W15-3701","2015","-1","2"
"S15-2107","2015","7","3"
"D15-1221","2015","25","3"
"W13-5412","2013","-1","2"
"rumshisky-etal-2012-word","2012","11","1"
"W11-0409","2011","9","1"
"S10-1005","2010","8","2"
"W09-3716","2009","10","4"
"W09-2414","2009","4","2"
"W08-1206","2008","13","1"
"W06-1317","2006","-1","4"
"pustejovsky-etal-2006-towards","2006","46","4"
"rumshisky-pustejovsky-2006-inducing","2006","6","1"
"P05-3021","2005","137","7"
"W04-1908","2004","37","3"
"C04-1133","2004","37","3"
