"2019.jeptalnrecital-long.7","2019","-1","2"
"2019.jeptalnrecital-court.29","2019","-1","2"
"L18-1619","2018","1","1"
"L18-1654","2018","0","2"
"2017.jeptalnrecital-long.10","2017","-1","3"
"C16-1094","2016","5","3"
"2016.jeptalnrecital-poster.30","2016","-1","2"
"2016.jeptalnrecital-long.2","2016","-1","4"
"W14-1206","2014","10","2"
"falk-etal-2014-non","2014","3","2"
"F14-2008","2014","-1","2"
"F14-2023","2014","-1","2"
"F14-1009","2014","-1","3"
"2014.lilt-11.1","2014","0","2"
"F13-1036","2013","0","4"
"S12-1068","2012","7","4"
"F12-2016","2012","0","2"
"W11-2840","2011","2","2"
"2011.jeptalnrecital-long.24","2011","-1","1"
"2011.jeptalnrecital-long.31","2011","-1","1"
"2011.jeptalnrecital-long.33","2011","-1","3"
"2011.jeptalnrecital-demonstration.12","2011","-1","6"
"2011.jeptalnrecital-court.6","2011","-1","2"
"C10-2007","2010","10","1"
"C10-1152","2010","152","2"
"P09-1082","2009","57","1"
"W08-0906","2008","56","1"
"C08-4001","2008","0","2"
"C08-4002","2008","0","2"
"2007.jeptalnrecital-long.34","2007","-1","1"
"E06-2022","2006","15","1"
"2005.jeptalnrecital-recital.4","2005","-1","1"
